mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.49226,4667.0,49,32,0.99956
16,0.48431,4430.0,49,32,1.0
24,0.46577,4298.0,49,32,0.99953
32,0.46997,4116.0,49,32,1.0
40,0.45115,4018.0,49,32,0.99813
48,0.43779,3946.0,49,32,0.99506
56,0.42644,3875.0,49,32,0.99762
64,0.42587,3742.0,49,32,1.0
72,0.4096,3703.0,49,32,0.99892
80,0.38842,3708.0,49,32,0.99644
88,0.39592,3587.0,49,32,0.99756
96,0.38771,3549.0,49,32,0.99677
104,0.37943,3547.0,49,32,0.99836
112,0.38319,3505.0,49,32,0.99626
120,0.38051,3487.0,49,32,1.0
128,0.38412,3483.0,49,32,0.99873
136,0.38322,3423.0,49,32,1.0
144,0.38097,3443.0,49,32,1.0
152,0.38239,3439.0,49,32,0.9994
160,0.37714,3424.0,49,32,0.99933
168,0.36986,3462.0,49,32,0.99882
176,0.37052,3422.0,49,32,0.99754
