mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.43579,4782.0,39,42,0.99831
16,0.43686,4471.0,39,42,1.0
24,0.42161,4344.0,39,42,0.99953
32,0.41534,4251.0,39,42,0.99905
40,0.42356,4072.0,39,42,0.99781
48,0.39751,4116.0,39,42,1.0
56,0.40349,3969.0,39,42,0.99538
64,0.39274,3951.0,39,42,0.99679
72,0.3902,3886.0,39,42,0.99852
80,0.38932,3874.0,39,42,0.99544
88,0.39612,3749.0,39,42,0.99793
96,0.3936,3697.0,39,42,0.99681
104,0.38756,3649.0,39,42,0.99888
112,0.37799,3639.0,39,42,0.99832
120,0.37611,3616.0,39,42,0.99894
128,0.376,3618.0,39,42,0.99938
136,0.36944,3606.0,39,42,1.0
144,0.3689,3584.0,39,42,0.99704
152,0.35396,3618.0,39,42,0.99677
160,0.35959,3514.0,39,42,0.99887
168,0.35833,3518.0,39,42,1.0
176,0.34289,3572.0,39,42,0.99765
