mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.44683,5207.0,49,32,0.993
16,0.43514,5106.0,49,32,0.98478
24,0.43618,4839.0,49,32,0.98304
32,0.4298,4636.0,49,32,0.97816
40,0.42401,4551.0,49,32,0.98333
48,0.41023,4384.0,49,32,0.98627
56,0.40544,4411.0,49,32,0.98093
64,0.40099,4284.0,49,32,0.97422
72,0.39815,4233.0,49,32,0.97637
80,0.38033,4252.0,49,32,0.97625
88,0.37113,4151.0,49,32,0.9742
96,0.35955,4145.0,49,32,0.96961
104,0.35081,4187.0,49,32,0.97365
112,0.34542,4109.0,49,32,0.97566
120,0.35632,4140.0,49,32,0.9654
128,0.36236,4255.0,49,32,0.95289
136,0.36003,4069.0,49,32,0.95996
144,0.35644,4042.0,49,32,0.96464
152,0.35054,4029.0,49,32,0.9765
160,0.3705,4097.0,49,32,0.96639
168,0.35525,4051.0,49,32,0.95812
176,0.36,4004.0,49,32,0.95576
