mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.48841,4635.0,49,32,1.0
16,0.49191,4361.0,49,32,1.0
24,0.51025,4155.0,49,32,1.0
32,0.52561,4042.0,49,32,1.0
40,0.54808,3993.0,49,32,0.99214
48,0.55627,3951.0,49,32,0.99674
56,0.55805,3871.0,49,32,1.0
64,0.54926,3835.0,49,32,0.99564
72,0.5389,3795.0,49,32,1.0
80,0.56171,3801.0,49,32,1.0
88,0.56658,3743.0,49,32,1.0
96,0.56372,3720.0,49,32,1.0
104,0.5716,3690.0,49,32,1.0
112,0.57461,3666.0,49,32,1.0
120,0.58449,3666.0,49,32,1.0
128,0.59569,3635.0,49,32,1.0
136,0.6074,3619.0,49,32,0.99905
144,0.60287,3588.0,49,32,1.0
152,0.61565,3600.0,49,32,1.0
160,0.62186,3605.0,49,32,0.99905
168,0.62486,3587.0,49,32,0.99796
176,0.62572,3541.0,49,32,1.0
