mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.51597,5263.0,48,33,0.9955
16,0.48597,5130.0,48,33,0.99308
24,0.47659,4847.0,48,33,0.97866
32,0.43839,4750.0,48,33,0.97071
40,0.41954,4716.0,48,33,0.98462
48,0.39133,4600.0,48,33,0.97667
56,0.43357,4318.0,48,33,0.98576
64,0.42983,4361.0,48,33,0.98026
72,0.42052,4313.0,48,33,0.97895
80,0.43201,4232.0,48,33,0.98284
88,0.41919,4249.0,48,33,0.97985
96,0.41238,4123.0,48,33,0.98311
104,0.36485,4220.0,48,33,0.9659
112,0.38831,4241.0,48,33,0.96517
120,0.37567,4222.0,48,33,0.95505
128,0.35514,4236.0,48,33,0.94007
136,0.34269,4253.0,48,33,0.94235
144,0.33854,4165.0,48,33,0.95071
152,0.35936,4069.0,48,33,0.96133
160,0.3523,4149.0,48,33,0.97222
168,0.35343,4177.0,48,33,0.95757
176,0.35135,4261.0,48,33,0.95865
