mcs,heterotypic_fraction,total_boundary,light_count,dark_count,mean_connectedness
8,0.56822,4703.0,39,42,1.0
16,0.57698,4363.0,39,42,0.99833
24,0.60536,4182.0,39,42,1.0
32,0.62166,4035.0,39,42,0.99957
40,0.64343,3928.0,39,42,0.9987
48,0.65937,3844.0,39,42,0.99859
56,0.66119,3790.0,39,42,1.0
64,0.68514,3753.0,39,42,0.99918
72,0.69104,3730.0,39,42,0.9972
80,0.70984,3675.0,39,42,1.0
88,0.7065,3611.0,39,42,1.0
96,0.7341,3598.0,39,42,1.0
104,0.73936,3591.0,39,42,0.99893
112,0.75469,3587.0,39,42,1.0
120,0.73965,3550.0,39,42,0.99698
128,0.73542,3530.0,39,42,1.0
136,0.74019,3537.0,39,42,1.0
144,0.75022,3528.0,39,42,1.0
152,0.76219,3564.0,39,42,1.0
160,0.75194,3532.0,39,42,0.99897
168,0.76298,3548.0,39,42,1.0
176,0.75583,3537.0,39,42,1.0
